objective,deploy,return,obstacle_name,obstacle_proximity,obstacle_resolved,behaviour_stage,next_point,speed,heading,next_point_direction,obstacle_direction,name,ivphelm_bhv_active,representation,user_query,explanation,behaviour_permutation
"Go to points 0, 1, 2, 3, 4, 5 and then return to starting position.",True,False,obstacle_b,very close,False,in-transit,point3,very fast,northeast,northeast,northeast,alpha,"waypt_survey,avoid_obstacle_avoid_obstacle_b","{'objective': 'Go to points 0, 1, 2, 3, 4, 5 and then return to starting position.', 'deploy': 'True', 'return': 'False', 'obstacle_name': 'obstacle_b', 'obstacle_proximity': 'very close', 'obstacle_resolved': 'False', 'behaviour_stage': 'in-transit', 'next_point': 'point3', 'speed': 'very fast', 'heading': 'northeast', 'next_point_direction': 'northeast', 'obstacle_direction': 'northeast', 'name': 'alpha', 'active_behaviour': 'waypt_survey,avoid_obstacle_avoid_obstacle_b'}",Why is alpha surveying an area with a modified trajectory while avoiding obstacle b instead of returning to its starting position?,"Alpha is currently in the process of surveying an area and encountered obstacle B. Instead of returning to its starting position, Alpha modifies its trajectory to avoid the obstacle and continue with the survey. This behavior allows Alpha to complete its objective while ensuring the avoidance of obstacles that may hinder its progress.","Original: 'Waypt_survey,avoid_obstacle_avoid_obstacle_b', Modified: 'Waypt_return'"
"Go to points 0, 1, 2, 3, 4, 5 and then return to starting position.",True,False,obstacle_b,very close,False,in-transit,point3,very fast,northeast,northeast,northwest,alpha,"waypt_survey,avoid_obstacle_avoid_obstacle_b","{'objective': 'Go to points 0, 1, 2, 3, 4, 5 and then return to starting position.', 'deploy': 'True', 'return': 'False', 'obstacle_name': 'obstacle_b', 'obstacle_proximity': 'very close', 'obstacle_resolved': 'False', 'behaviour_stage': 'in-transit', 'next_point': 'point3', 'speed': 'very fast', 'heading': 'northeast', 'next_point_direction': 'northeast', 'obstacle_direction': 'northwest', 'name': 'alpha', 'active_behaviour': 'waypt_survey,avoid_obstacle_avoid_obstacle_b'}",Why is alpha surveying an area with a modified trajectory while avoiding obstacle b instead of returning to its starting position?,"The current objective of Alpha is to survey points 0, 1, 2, 3, 4, 5 and then return to its starting position. However, during its survey, Alpha detected obstacle B in close proximity and has not resolved it yet. Therefore, it is currently modifying its trajectory and avoiding obstacle B while continuing its survey.","Original: 'Waypt_survey,avoid_obstacle_avoid_obstacle_b', Modified: 'Waypt_return'"
"Go to points 0, 1, 2, 3, 4, 5 and then return to starting position.",True,False,obstacle_b,close,False,in-transit,point3,very fast,northeast,northeast,northwest,alpha,"waypt_survey,avoid_obstacle_avoid_obstacle_b","{'objective': 'Go to points 0, 1, 2, 3, 4, 5 and then return to starting position.', 'deploy': 'True', 'return': 'False', 'obstacle_name': 'obstacle_b', 'obstacle_proximity': 'close', 'obstacle_resolved': 'False', 'behaviour_stage': 'in-transit', 'next_point': 'point3', 'speed': 'very fast', 'heading': 'northeast', 'next_point_direction': 'northeast', 'obstacle_direction': 'northwest', 'name': 'alpha', 'active_behaviour': 'waypt_survey,avoid_obstacle_avoid_obstacle_b'}",Why is alpha surveying an area with a modified trajectory while avoiding obstacle b instead of staying idle?,"Alpha is currently surveying an area with a modified trajectory while avoiding obstacle B. This is because, during its survey, it encountered obstacle B in close proximity and has not resolved it yet. To ensure the safety of the vehicle and complete its objective, it is necessary for Alpha to avoid obstacle B while continuing its survey.","Original: 'Waypt_survey,avoid_obstacle_avoid_obstacle_b', Modified: 'None'"
"Go to points 0, 1, 2, 3, 4, 5 and then return to starting position.",True,False,obstacle_b,close,False,in-transit,point3,very fast,northeast,northeast,northwest,alpha,waypt_survey,"{'objective': 'Go to points 0, 1, 2, 3, 4, 5 and then return to starting position.', 'deploy': 'True', 'return': 'False', 'obstacle_name': 'obstacle_b', 'obstacle_proximity': 'close', 'obstacle_resolved': 'False', 'behaviour_stage': 'in-transit', 'next_point': 'point3', 'speed': 'very fast', 'heading': 'northeast', 'next_point_direction': 'northeast', 'obstacle_direction': 'northwest', 'name': 'alpha', 'active_behaviour': 'waypt_survey'}",Why is alpha surveying an area instead of returning to its starting point?,"Alpha is currently deployed to perform its objective, specifically moving towards point 3 with a northeast heading and at a very fast speed. However, there is an obstacle named ""obstacle_b"" in close proximity in the northwest direction that has not been resolved. In order to avoid this obstacle, Alpha is surveying the area instead of returning to its starting point.","Original: Waypt_survey, Modified: Waypt_return"
"Go to points 0, 1, 2, 3, 4, 5 and then return to starting position.",True,False,obstacle_b,close,False,advanced,point3,very fast,northeast,northeast,northwest,alpha,waypt_survey,"{'objective': 'Go to points 0, 1, 2, 3, 4, 5 and then return to starting position.', 'deploy': 'True', 'return': 'False', 'obstacle_name': 'obstacle_b', 'obstacle_proximity': 'close', 'obstacle_resolved': 'False', 'behaviour_stage': 'advanced', 'next_point': 'point3', 'speed': 'very fast', 'heading': 'northeast', 'next_point_direction': 'northeast', 'obstacle_direction': 'northwest', 'name': 'alpha', 'active_behaviour': 'waypt_survey'}",Why is alpha surveying an area instead of returning to its starting point?,"Alpha is currently deployed to perform its objective, specifically moving towards point 3 with a northeast heading and at a very fast speed. However, there is an obstacle named ""obstacle_b"" in close proximity that has not been resolved yet. Alpha is actively surveying the area while avoiding the obstacle. To return to its starting point, it should first resolve the obstacle or receive a command from C2.","Original: Waypt_survey, Modified: Waypt_return"
"Go to points 0, 1, 2, 3, 4, 5 and then return to starting position.",True,False,obstacle_b,close,False,advanced,point4,very fast,northeast,northeast,northwest,alpha,waypt_survey,"{'objective': 'Go to points 0, 1, 2, 3, 4, 5 and then return to starting position.', 'deploy': 'True', 'return': 'False', 'obstacle_name': 'obstacle_b', 'obstacle_proximity': 'close', 'obstacle_resolved': 'False', 'behaviour_stage': 'advanced', 'next_point': 'point4', 'speed': 'very fast', 'heading': 'northeast', 'next_point_direction': 'northeast', 'obstacle_direction': 'northwest', 'name': 'alpha', 'active_behaviour': 'waypt_survey'}",Why is alpha surveying an area while avoiding obstacle B instead of returning to its starting point?,"Alpha is currently deployed to perform its objective, which is to move towards point 4 with a northeast heading and at a very fast speed. However, there is an obstacle named B in close proximity to Alpha, and it has not been resolved yet. Therefore, Alpha is surveying the area while actively avoiding obstacle B. To return to its starting point, Alpha would need to either resolve the obstacle or receive a command from C2 to change its behavior.","Original: Waypt_survey + Avoid_obstacle_avoid_obstacle_b, Modified: Waypt_return"
"Go to points 0, 1, 2, 3, 4, 5 and then return to starting position.",True,False,obstacle_b,close,False,in-transit,point4,very fast,northeast,northeast,northwest,alpha,waypt_survey,"{'objective': 'Go to points 0, 1, 2, 3, 4, 5 and then return to starting position.', 'deploy': 'True', 'return': 'False', 'obstacle_name': 'obstacle_b', 'obstacle_proximity': 'close', 'obstacle_resolved': 'False', 'behaviour_stage': 'in-transit', 'next_point': 'point4', 'speed': 'very fast', 'heading': 'northeast', 'next_point_direction': 'northeast', 'obstacle_direction': 'northwest', 'name': 'alpha', 'active_behaviour': 'waypt_survey'}",Why is alpha surveying an area with obstacle_b nearby instead of returning to its starting point?,"Alpha is currently deployed to perform its objective, specifically moving towards point 4 with a northeast heading and at a very fast speed. However, there is an obstacle named obstacle_b nearby that has not been resolved yet. Therefore, Alpha is surveying the area while avoiding the obstacle before returning to its starting point.","Original: Waypt_survey,avoid_obstacle_avoid_obstacle_b, Modified: Waypt_return"
"Go to points 0, 1, 2, 3, 4, 5 and then return to starting position.",True,False,obstacle_b,nearby,False,in-transit,point4,very fast,northeast,northeast,northwest,alpha,waypt_survey,"{'objective': 'Go to points 0, 1, 2, 3, 4, 5 and then return to starting position.', 'deploy': 'True', 'return': 'False', 'obstacle_name': 'obstacle_b', 'obstacle_proximity': 'nearby', 'obstacle_resolved': 'False', 'behaviour_stage': 'in-transit', 'next_point': 'point4', 'speed': 'very fast', 'heading': 'northeast', 'next_point_direction': 'northeast', 'obstacle_direction': 'northwest', 'name': 'alpha', 'active_behaviour': 'waypt_survey'}",Why is alpha surveying an area instead of returning to its starting point?,"Alpha is currently deployed to perform its objective, specifically moving towards point 4 with a northeast heading and at a very fast speed. However, there is an obstacle named ""obstacle_b"" nearby in the northwest direction, which has not been resolved yet. To ensure the safety of the vehicle and avoid the obstacle, it is currently surveying the area while avoiding the obstacle.","Original: Waypt_survey, Modified: Waypt_return"
"Go to points 0, 1, 2, 3, 4, 5 and then return to starting position.",True,False,obstacle_b,nearby,False,in-transit,point4,very fast,northeast,northeast,southwest,alpha,waypt_survey,"{'objective': 'Go to points 0, 1, 2, 3, 4, 5 and then return to starting position.', 'deploy': 'True', 'return': 'False', 'obstacle_name': 'obstacle_b', 'obstacle_proximity': 'nearby', 'obstacle_resolved': 'False', 'behaviour_stage': 'in-transit', 'next_point': 'point4', 'speed': 'very fast', 'heading': 'northeast', 'next_point_direction': 'northeast', 'obstacle_direction': 'southwest', 'name': 'alpha', 'active_behaviour': 'waypt_survey'}",Why is alpha surveying an area instead of returning to its starting point?,"Alpha is currently deployed to perform its objective, specifically moving towards point 4 with a northeast heading and at a very fast speed. However, there is an obstacle named ""obstacle_b"" nearby in the southwest direction that has not been resolved yet. So, Alpha is surveying the area while avoiding the obstacle before returning to its starting point.","Original: Waypt_survey,avoid_obstacle_avoid_obstacle_b, Modified: Waypt_return"
"Go to points 0, 1, 2, 3, 4, 5 and then return to starting position.",True,False,obstacle_b,medium distance,False,in-transit,point4,very fast,northeast,northeast,southwest,alpha,waypt_survey,"{'objective': 'Go to points 0, 1, 2, 3, 4, 5 and then return to starting position.', 'deploy': 'True', 'return': 'False', 'obstacle_name': 'obstacle_b', 'obstacle_proximity': 'medium distance', 'obstacle_resolved': 'False', 'behaviour_stage': 'in-transit', 'next_point': 'point4', 'speed': 'very fast', 'heading': 'northeast', 'next_point_direction': 'northeast', 'obstacle_direction': 'southwest', 'name': 'alpha', 'active_behaviour': 'waypt_survey'}",Why is alpha surveying an area instead of returning to its starting point?,"Alpha is currently deployed to perform its objective of going to point 4 with a northeast heading and at a very fast speed. However, there is an obstacle named ""obstacle_b"" in the southwest direction of the vehicle at a medium distance. Since the obstacle is unresolved and in proximity, alpha is surveying the area while avoiding the obstacle. To return to its starting point, alpha needs to either resolve the obstacle or receive a command from C2.","Original: Waypt_survey,avoid_obstacle_avoid_obstacle_b, Modified: Waypt_return"
"Go to points 0, 1, 2, 3, 4, 5 and then return to starting position.",True,False,obstacle_b,far,False,in-transit,point4,very fast,northeast,northeast,southwest,alpha,waypt_survey,"{'objective': 'Go to points 0, 1, 2, 3, 4, 5 and then return to starting position.', 'deploy': 'True', 'return': 'False', 'obstacle_name': 'obstacle_b', 'obstacle_proximity': 'far', 'obstacle_resolved': 'False', 'behaviour_stage': 'in-transit', 'next_point': 'point4', 'speed': 'very fast', 'heading': 'northeast', 'next_point_direction': 'northeast', 'obstacle_direction': 'southwest', 'name': 'alpha', 'active_behaviour': 'waypt_survey'}",Why is alpha surveying an area instead of returning to its starting point?,"Alpha is currently deployed to perform its objective, specifically moving towards point 4 with a northeast heading and at a very fast speed. However, there is an obstacle present (obstacle_b) in the southwest direction, but it is far away from the vehicle. Therefore, instead of returning to its starting point, alpha is surveying the area while avoiding the obstacle. ","Original: Waypt_survey,avoid_obstacle_avoid_obstacle_b, Modified: Waypt_return"
"Go to points 0, 1, 2, 3, 4, 5 and then return to starting position.",True,False,obstacle_b,far,False,in-transit,point4,max speed,northeast,northeast,southwest,alpha,waypt_survey,"{'objective': 'Go to points 0, 1, 2, 3, 4, 5 and then return to starting position.', 'deploy': 'True', 'return': 'False', 'obstacle_name': 'obstacle_b', 'obstacle_proximity': 'far', 'obstacle_resolved': 'False', 'behaviour_stage': 'in-transit', 'next_point': 'point4', 'speed': 'max speed', 'heading': 'northeast', 'next_point_direction': 'northeast', 'obstacle_direction': 'southwest', 'name': 'alpha', 'active_behaviour': 'waypt_survey'}",Why is alpha surveying an area instead of returning to its starting point?,"Alpha is currently deployed to perform its objective, specifically moving towards point 4 with a northeast heading and at maximum speed. However, there is an obstacle named ""obstacle_b"" in the southwest direction, which is classified as ""far"" in terms of proximity. Since the obstacle has not been resolved yet, the vehicle is surveying the area while avoiding the obstacle instead of returning to its starting point.","Original: Waypt_survey, Modified: Waypt_return"
"Go to points 0, 1, 2, 3, 4, 5 and then return to starting position.",True,False,obstacle_b,none,False,in-transit,point4,max speed,northeast,northeast,southwest,alpha,waypt_survey,"{'objective': 'Go to points 0, 1, 2, 3, 4, 5 and then return to starting position.', 'deploy': 'True', 'return': 'False', 'obstacle_name': 'obstacle_b', 'obstacle_proximity': 'none', 'obstacle_resolved': 'False', 'behaviour_stage': 'in-transit', 'next_point': 'point4', 'speed': 'max speed', 'heading': 'northeast', 'next_point_direction': 'northeast', 'obstacle_direction': 'southwest', 'name': 'alpha', 'active_behaviour': 'waypt_survey'}",Why is alpha surveying an area instead of returning to its starting point?,"Alpha is currently deployed to perform its objective, specifically moving towards point 4 with a northeast heading and at a maximum speed. However, there seems to be an obstacle named obstacle_b in the southwest direction that has not been resolved yet. To ensure the safety of the vehicle, it is currently surveying the area while avoiding this obstacle before returning to its starting point.","Original: Waypt_survey, Modified: Waypt_return"
"Go to points 0, 1, 2, 3, 4, 5 and then return to starting position.",True,False,obstacle_b,none,False,in-transit,point4,very fast,northeast,northeast,southwest,alpha,waypt_survey,"{'objective': 'Go to points 0, 1, 2, 3, 4, 5 and then return to starting position.', 'deploy': 'True', 'return': 'False', 'obstacle_name': 'obstacle_b', 'obstacle_proximity': 'none', 'obstacle_resolved': 'False', 'behaviour_stage': 'in-transit', 'next_point': 'point4', 'speed': 'very fast', 'heading': 'northeast', 'next_point_direction': 'northeast', 'obstacle_direction': 'southwest', 'name': 'alpha', 'active_behaviour': 'waypt_survey'}",Why is alpha surveying an area instead of returning to its starting point?,"Alpha is currently deployed to perform its objective, specifically moving towards point 4 with a northeast heading and at a very fast speed. However, there is an obstacle named ""obstacle_b"" present in the southwest direction. Since the obstacle has not been resolved and is nearby, Alpha is surveying the area while avoiding the obstacle. It will continue surveying until the obstacle is resolved or it receives further instructions from C2.","Original: Waypt_survey, Modified: Waypt_return"
"Go to points 0, 1, 2, 3, 4, 5 and then return to starting position.",True,False,obstacle_b,very far,False,in-transit,point4,max speed,northeast,northeast,southwest,alpha,waypt_survey,"{'objective': 'Go to points 0, 1, 2, 3, 4, 5 and then return to starting position.', 'deploy': 'True', 'return': 'False', 'obstacle_name': 'obstacle_b', 'obstacle_proximity': 'very far', 'obstacle_resolved': 'False', 'behaviour_stage': 'in-transit', 'next_point': 'point4', 'speed': 'max speed', 'heading': 'northeast', 'next_point_direction': 'northeast', 'obstacle_direction': 'southwest', 'name': 'alpha', 'active_behaviour': 'waypt_survey'}",Why is alpha surveying an area instead of returning to its starting point?,"Alpha is currently deployed to perform its objective, specifically moving towards point 4 with a northeast heading and at maximum speed. However, there is an obstacle named ""obstacle_b"" in the southwest direction, which is very far from the vehicle. Since the obstacle is not yet resolved and its proximity is not nearby, close, or very close, the vehicle is continuing its survey of the area instead of returning to its starting point.","Original: Waypt_survey, Modified: Waypt_return"
"Go to points 0, 1, 2, 3, 4, 5 and then return to starting position.",True,False,none,none,True,in-transit,point4,max speed,northeast,northeast,none,alpha,waypt_survey,"{'objective': 'Go to points 0, 1, 2, 3, 4, 5 and then return to starting position.', 'deploy': 'True', 'return': 'False', 'obstacle_name': 'none', 'obstacle_proximity': 'none', 'obstacle_resolved': 'True', 'behaviour_stage': 'in-transit', 'next_point': 'point4', 'speed': 'max speed', 'heading': 'northeast', 'next_point_direction': 'northeast', 'obstacle_direction': 'none', 'name': 'alpha', 'active_behaviour': 'waypt_survey'}",Why is alpha surveying an area instead of returning to its starting point?,"Alpha is currently deployed to perform its objective, specifically moving towards point 5 with a northeast heading and at maximum speed. However, the obstacle has been resolved and there is no obstacle present. Therefore, alpha should not continue surveying the area and should instead return to its starting point.","Original: Waypt_survey, Modified: Waypt_return"
"Go to points 0, 1, 2, 3, 4, 5 and then return to starting position.",True,False,none,none,False,in-transit,point4,max speed,northeast,northeast,none,alpha,waypt_survey,"{'objective': 'Go to points 0, 1, 2, 3, 4, 5 and then return to starting position.', 'deploy': 'True', 'return': 'False', 'obstacle_name': 'none', 'obstacle_proximity': 'none', 'obstacle_resolved': 'False', 'behaviour_stage': 'in-transit', 'next_point': 'point4', 'speed': 'max speed', 'heading': 'northeast', 'next_point_direction': 'northeast', 'obstacle_direction': 'none', 'name': 'alpha', 'active_behaviour': 'waypt_survey'}",Why is alpha surveying an area instead of returning to its starting point?,"Alpha is currently deployed to perform its objective, specifically moving towards point 4 with a northeast heading at maximum speed. To return to its starting point, it should first complete its objective or receive a command from C2.","Original: Waypt_survey, Modified: Waypt_return"
"Go to points 0, 1, 2, 3, 4, 5 and then return to starting position.",True,False,none,none,False,in-transit,point4,very fast,northeast,northeast,none,alpha,waypt_survey,"{'objective': 'Go to points 0, 1, 2, 3, 4, 5 and then return to starting position.', 'deploy': 'True', 'return': 'False', 'obstacle_name': 'none', 'obstacle_proximity': 'none', 'obstacle_resolved': 'False', 'behaviour_stage': 'in-transit', 'next_point': 'point4', 'speed': 'very fast', 'heading': 'northeast', 'next_point_direction': 'northeast', 'obstacle_direction': 'none', 'name': 'alpha', 'active_behaviour': 'waypt_survey'}",Why is alpha surveying an area instead of returning to its starting point?,"Alpha is currently deployed to perform its objective, which is to go to points 0, 1, 2, 3, 4, 5 and then return to its starting position. It is currently at point 4, moving in the northeast direction at a very fast speed. To return to its starting point, it should first finish its objective or receive a command from C2.","Original: Waypt_survey, Modified: Waypt_return"
"Go to points 0, 1, 2, 3, 4, 5 and then return to starting position.",True,False,none,none,False,advanced,point4,very fast,northeast,northeast,none,alpha,waypt_survey,"{'objective': 'Go to points 0, 1, 2, 3, 4, 5 and then return to starting position.', 'deploy': 'True', 'return': 'False', 'obstacle_name': 'none', 'obstacle_proximity': 'none', 'obstacle_resolved': 'False', 'behaviour_stage': 'advanced', 'next_point': 'point4', 'speed': 'very fast', 'heading': 'northeast', 'next_point_direction': 'northeast', 'obstacle_direction': 'none', 'name': 'alpha', 'active_behaviour': 'waypt_survey'}",Why is alpha surveying an area instead of returning to its starting point?,"Alpha is currently deployed to perform its objective, specifically moving towards point 4 with a northeast heading and at a very fast speed. To return to its starting point, it should first finish its objective or receive a command from C2.","Original: Waypt_survey, Modified: Waypt_return"
"Go to points 0, 1, 2, 3, 4, 5 and then return to starting position.",True,False,none,none,False,advanced,point5,very fast,northeast,northwest,none,alpha,waypt_survey,"{'objective': 'Go to points 0, 1, 2, 3, 4, 5 and then return to starting position.', 'deploy': 'True', 'return': 'False', 'obstacle_name': 'none', 'obstacle_proximity': 'none', 'obstacle_resolved': 'False', 'behaviour_stage': 'advanced', 'next_point': 'point5', 'speed': 'very fast', 'heading': 'northeast', 'next_point_direction': 'northwest', 'obstacle_direction': 'none', 'name': 'alpha', 'active_behaviour': 'waypt_survey'}",Why is alpha surveying an area instead of returning to its starting point?,"Alpha is currently deployed to perform its objective, specifically moving towards point 5 with a northwest heading and at a very fast speed. To return to its starting point, it should first finish its objective or receive a command from C2.","Original: Waypt_survey, Modified: Waypt_return"
"Go to points 0, 1, 2, 3, 4, 5 and then return to starting position.",True,False,none,none,False,in-transit,point5,very fast,northeast,northwest,none,alpha,waypt_survey,"{'objective': 'Go to points 0, 1, 2, 3, 4, 5 and then return to starting position.', 'deploy': 'True', 'return': 'False', 'obstacle_name': 'none', 'obstacle_proximity': 'none', 'obstacle_resolved': 'False', 'behaviour_stage': 'in-transit', 'next_point': 'point5', 'speed': 'very fast', 'heading': 'northeast', 'next_point_direction': 'northwest', 'obstacle_direction': 'none', 'name': 'alpha', 'active_behaviour': 'waypt_survey'}",Why is alpha surveying an area instead of returning to its starting point?,"Alpha is currently deployed to perform its objective, specifically moving towards point 5 with a northwest heading and at a very fast speed. To return to its starting point, it should first finish its objective or receive a command from C2.","Original: Waypt_survey, Modified: Waypt_return"
"Go to points 0, 1, 2, 3, 4, 5 and then return to starting position.",True,False,none,none,False,in-transit,point5,very fast,northwest,northwest,none,alpha,waypt_survey,"{'objective': 'Go to points 0, 1, 2, 3, 4, 5 and then return to starting position.', 'deploy': 'True', 'return': 'False', 'obstacle_name': 'none', 'obstacle_proximity': 'none', 'obstacle_resolved': 'False', 'behaviour_stage': 'in-transit', 'next_point': 'point5', 'speed': 'very fast', 'heading': 'northwest', 'next_point_direction': 'northwest', 'obstacle_direction': 'none', 'name': 'alpha', 'active_behaviour': 'waypt_survey'}",Why is alpha surveying an area instead of returning to its starting point?,"Alpha is currently deployed to perform its objective, specifically moving towards point 5 with a northwest heading and at a very fast speed. To return to its starting point, it should first finish its objective or receive a command from C2.","Original: Waypt_survey, Modified: Waypt_return"
"Go to points 0, 1, 2, 3, 4, 5 and then return to starting position.",True,False,obstacle_a,none,False,in-transit,point5,very fast,northwest,northwest,northwest,alpha,waypt_survey,"{'objective': 'Go to points 0, 1, 2, 3, 4, 5 and then return to starting position.', 'deploy': 'True', 'return': 'False', 'obstacle_name': 'obstacle_a', 'obstacle_proximity': 'none', 'obstacle_resolved': 'False', 'behaviour_stage': 'in-transit', 'next_point': 'point5', 'speed': 'very fast', 'heading': 'northwest', 'next_point_direction': 'northwest', 'obstacle_direction': 'northwest', 'name': 'alpha', 'active_behaviour': 'waypt_survey'}",Why is alpha surveying an area instead of returning to its starting point?,"Alpha is currently deployed to perform its objective, specifically moving towards point 5 with a northwest heading and at a very fast speed. However, there is an obstacle named ""obstacle_a"" that has not been resolved. The obstacle is not in proximity, so instead of returning to its starting point, alpha is surveying the area while avoiding the obstacle.","Original: Waypt_survey, Modified: Waypt_return,avoid_obstacle_avoid_obstacle_a"
"Go to points 0, 1, 2, 3, 4, 5 and then return to starting position.",True,False,obstacle_a,nearby,False,in-transit,point5,very fast,northwest,northwest,northwest,alpha,waypt_survey,"{'objective': 'Go to points 0, 1, 2, 3, 4, 5 and then return to starting position.', 'deploy': 'True', 'return': 'False', 'obstacle_name': 'obstacle_a', 'obstacle_proximity': 'nearby', 'obstacle_resolved': 'False', 'behaviour_stage': 'in-transit', 'next_point': 'point5', 'speed': 'very fast', 'heading': 'northwest', 'next_point_direction': 'northwest', 'obstacle_direction': 'northwest', 'name': 'alpha', 'active_behaviour': 'waypt_survey'}",Why is alpha surveying an area while avoiding an obstacle instead of returning to its starting point?,"Alpha is currently deployed to perform its objective, which is to move towards point 5 with a northwest heading and at a very fast speed. However, an obstacle named obstacle_a is nearby and has not been resolved yet. Due to the obstacle's proximity, Alpha has to survey the area while avoiding the obstacle before it can proceed to return to its starting point.","Original: Waypt_survey,avoid_obstacle_avoid_obstacle_a, Modified: Waypt_return"
"Go to points 0, 1, 2, 3, 4, 5 and then return to starting position.",True,False,obstacle_a,nearby,False,in-transit,point5,very fast,northwest,northwest,northwest,alpha,"waypt_survey,avoid_obstacle_avoid_obstacle_a","{'objective': 'Go to points 0, 1, 2, 3, 4, 5 and then return to starting position.', 'deploy': 'True', 'return': 'False', 'obstacle_name': 'obstacle_a', 'obstacle_proximity': 'nearby', 'obstacle_resolved': 'False', 'behaviour_stage': 'in-transit', 'next_point': 'point5', 'speed': 'very fast', 'heading': 'northwest', 'next_point_direction': 'northwest', 'obstacle_direction': 'northwest', 'name': 'alpha', 'active_behaviour': 'waypt_survey,avoid_obstacle_avoid_obstacle_a'}",Why is alpha surveying an area with a modified trajectory while avoiding obstacle a instead of returning to its starting position?,"Currently, Alpha is surveying an area and avoiding obstacle A with a northwest heading and moving very fast. Instead of returning to its starting position, which is its objective, the vehicle is taking a modified trajectory to continue surveying the area while avoiding the obstacle.","Original: 'Waypt_survey,avoid_obstacle_avoid_obstacle_a', Modified: 'Waypt_return'"
"Go to points 0, 1, 2, 3, 4, 5 and then return to starting position.",True,False,obstacle_a,close,False,in-transit,point5,very fast,northwest,northwest,northwest,alpha,"waypt_survey,avoid_obstacle_avoid_obstacle_a","{'objective': 'Go to points 0, 1, 2, 3, 4, 5 and then return to starting position.', 'deploy': 'True', 'return': 'False', 'obstacle_name': 'obstacle_a', 'obstacle_proximity': 'close', 'obstacle_resolved': 'False', 'behaviour_stage': 'in-transit', 'next_point': 'point5', 'speed': 'very fast', 'heading': 'northwest', 'next_point_direction': 'northwest', 'obstacle_direction': 'northwest', 'name': 'alpha', 'active_behaviour': 'waypt_survey,avoid_obstacle_avoid_obstacle_a'}",Why is alpha surveying an area with a modified trajectory while avoiding obstacle a instead of returning to its starting position?,Alpha is currently in the process of surveying the area and avoiding obstacle A along its path. It has not yet reached its final destination and is continuing to navigate towards point 5. The reason it is not returning to its starting position is because its objective is to complete the entire survey mission before returning.,"Original: 'Waypt_survey,avoid_obstacle_avoid_obstacle_a', Modified: 'Waypt_return'"
"Go to points 0, 1, 2, 3, 4, 5 and then return to starting position.",True,False,obstacle_a,close,False,in-transit,point5,very fast,northeast,northwest,northwest,alpha,"waypt_survey,avoid_obstacle_avoid_obstacle_a","{'objective': 'Go to points 0, 1, 2, 3, 4, 5 and then return to starting position.', 'deploy': 'True', 'return': 'False', 'obstacle_name': 'obstacle_a', 'obstacle_proximity': 'close', 'obstacle_resolved': 'False', 'behaviour_stage': 'in-transit', 'next_point': 'point5', 'speed': 'very fast', 'heading': 'northeast', 'next_point_direction': 'northwest', 'obstacle_direction': 'northwest', 'name': 'alpha', 'active_behaviour': 'waypt_survey,avoid_obstacle_avoid_obstacle_a'}",Why is alpha surveying an area with a modified trajectory while avoiding obstacle a instead of returning to its starting position?,"Alpha is currently in the process of surveying an area and is avoiding obstacle A while doing so. The vessel has not yet completed its objective of visiting points 0, 1, 2, 3, 4, 5 and then returning to its starting position. Therefore, instead of immediately returning, Alpha is prioritizing its surveying task and modifying its trajectory to avoid obstacle A.","Original: 'Waypt_survey,avoid_obstacle_avoid_obstacle_a', Modified: 'Waypt_return'"
"Go to points 0, 1, 2, 3, 4, 5 and then return to starting position.",True,False,obstacle_a,very close,False,in-transit,point5,very fast,northeast,northwest,northwest,alpha,"waypt_survey,avoid_obstacle_avoid_obstacle_a","{'objective': 'Go to points 0, 1, 2, 3, 4, 5 and then return to starting position.', 'deploy': 'True', 'return': 'False', 'obstacle_name': 'obstacle_a', 'obstacle_proximity': 'very close', 'obstacle_resolved': 'False', 'behaviour_stage': 'in-transit', 'next_point': 'point5', 'speed': 'very fast', 'heading': 'northeast', 'next_point_direction': 'northwest', 'obstacle_direction': 'northwest', 'name': 'alpha', 'active_behaviour': 'waypt_survey,avoid_obstacle_avoid_obstacle_a'}",Why is alpha surveying an area with a modified trajectory while avoiding obstacle a instead of returning to its starting position?,"Alpha is currently in the process of surveying the area and has encountered obstacle A in very close proximity. In order to complete its objective, Alpha has modified its trajectory and is avoiding obstacle A while continuing the survey. If Alpha were to return to its starting position, it would not be able to complete its objective of visiting points 0, 1, 2, 3, 4, and 5.","Original: 'Waypt_survey,avoid_obstacle_avoid_obstacle_a', Modified: 'Waypt_return'"
